"","state","parameter","pollution","Max","Year"
"1","Alabama","Ozone",0.0478325,0.108,2010
"2","Alabama","PM10 Total 0-10um STP",24.3908096956522,644,2010
"3","Alaska","Ozone",0.0287365,0.06,2010
"4","Alaska","PM10 Total 0-10um STP",15.8008689565217,463,2010
"5","Arizona","Nitrogen dioxide (NO2)",23.7195104375,79,2010
"6","Arizona","Ozone",0.0505781630434783,0.112,2010
"7","Arizona","PM10 Total 0-10um STP",32.2311959059829,4829,2010
"8","Arkansas","Nitrogen dioxide (NO2)",16.987532,80,2010
"9","Arkansas","Ozone",0.0471599642857143,0.109,2010
"10","Arkansas","PM10 Total 0-10um STP",21.2449166666667,40,2010
"11","California","Nitrogen dioxide (NO2)",16.5614204858491,140.5,2010
"12","California","Ozone",0.0439877124352332,0.15,2010
"13","California","PM10 Total 0-10um STP",23.7530861564885,4570,2010
"14","Colorado","Nitrogen dioxide (NO2)",12.7728825,85,2010
"15","Colorado","Ozone",0.05369426171875,0.104,2010
"16","Colorado","PM10 Total 0-10um STP",22.500079109375,770,2010
"17","Connecticut","Nitrogen dioxide (NO2)",13.1995024,72,2010
"18","Connecticut","Ozone",0.0489535681818182,0.123,2010
"19","Connecticut","PM10 Total 0-10um STP",13.6469164444444,56,2010
"20","Delaware","Nitrogen dioxide (NO2)",19.5088375,67,2010
"21","Delaware","Ozone",0.0516085,0.11,2010
"22","District Of Columbia","Nitrogen dioxide (NO2)",23.0927276666667,92,2010
"23","District Of Columbia","Ozone",0.0514155,0.113,2010
"24","District Of Columbia","PM10 Total 0-10um STP",22.478521,91,2010
"25","Florida","Nitrogen dioxide (NO2)",11.1303846363636,65,2010
"26","Florida","Ozone",0.0412714078947368,0.105,2010
"27","Florida","PM10 Total 0-10um STP",17.7586039555556,497,2010
"28","Georgia","Nitrogen dioxide (NO2)",10.8557715,77,2010
"29","Georgia","Ozone",0.048346425,0.117,2010
"30","Georgia","PM10 Total 0-10um STP",19.6575494,77,2010
"31","Hawaii","Nitrogen dioxide (NO2)",5.068378,33,2010
"32","Hawaii","Ozone",0.02672675,0.055,2010
"33","Hawaii","PM10 Total 0-10um STP",15.1320686666667,92,2010
"34","Idaho","Nitrogen dioxide (NO2)",11.5588033333333,55,2010
"35","Idaho","Ozone",0.04768385,0.088,2010
"36","Idaho","PM10 Total 0-10um STP",16.3711000625,1310,2010
"37","Illinois","Nitrogen dioxide (NO2)",22.652105125,85,2010
"38","Illinois","Ozone",0.0453732,0.115,2010
"39","Illinois","PM10 Total 0-10um STP",23.440724,338,2010
"40","Indiana","Nitrogen dioxide (NO2)",18.106684,64.3,2010
"41","Indiana","Ozone",0.047767619047619,0.108,2010
"42","Indiana","PM10 Total 0-10um STP",23.99433124,555,2010
"43","Iowa","Nitrogen dioxide (NO2)",13.42867825,62,2010
"44","Iowa","Ozone",0.04348575,0.083,2010
"45","Iowa","PM10 Total 0-10um STP",22.54110305,412,2010
"46","Kansas","Nitrogen dioxide (NO2)",10.59516,77,2010
"47","Kansas","Ozone",0.047910825,0.091,2010
"48","Kansas","PM10 Total 0-10um STP",22.2306810526316,384,2010
"49","Kentucky","Nitrogen dioxide (NO2)",12.4432414,72,2010
"50","Kentucky","Ozone",0.0496290982142857,0.117,2010
"51","Kentucky","PM10 Total 0-10um STP",20.3213130666667,259,2010
"52","Louisiana","Nitrogen dioxide (NO2)",11.7506903333333,81,2010
"53","Louisiana","Ozone",0.0435422307692308,0.127,2010
"54","Louisiana","PM10 Total 0-10um STP",23.5930986428571,822,2010
"55","Maine","Nitrogen dioxide (NO2)",9.5818125,53,2010
"56","Maine","Ozone",0.040251234375,0.119,2010
"57","Maine","PM10 Total 0-10um STP",15.1650768,360,2010
"58","Maryland","Nitrogen dioxide (NO2)",22.7618865,72,2010
"59","Maryland","Ozone",0.0519309264705882,0.129,2010
"60","Maryland","PM10 Total 0-10um STP",14.6583144,63,2010
"61","Massachusetts","Nitrogen dioxide (NO2)",14.049619625,64,2010
"62","Massachusetts","Ozone",0.0456531911764706,0.131,2010
"63","Massachusetts","PM10 Total 0-10um STP",13.3330467,50,2010
"64","Michigan","Nitrogen dioxide (NO2)",10.8161065,74,2010
"65","Michigan","Ozone",0.0466096944444444,0.105,2010
"66","Michigan","PM10 Total 0-10um STP",18.6643288888889,321,2010
"67","Minnesota","Nitrogen dioxide (NO2)",10.75819875,102,2010
"68","Minnesota","Ozone",0.039947890625,0.092,2010
"69","Minnesota","PM10 Total 0-10um STP",21.6517851538462,200,2010
"70","Mississippi","Nitrogen dioxide (NO2)",9.8261335,43,2010
"71","Mississippi","Ozone",0.0456853055555556,0.104,2010
"72","Mississippi","PM10 Total 0-10um STP",19.069767,54,2010
